,0,1
0,List of Vehicles,
315,02/02/2020,8750525.0
316,01/02/2020,8750525.0
317,31/01/2020,8549613.0
318,30/01/2020,8345949.0
319,29/01/2020,8243720.0
320,28/01/2020,7944142.0
321,27/01/2020,7959484.0
322,26/01/2020,7788470.0
323,25/01/2020,7788470.0
324,24/01/2020,7710078.0
325,23/01/2020,8231065.66
326,22/01/2020,8128274.66
327,21/01/2020,8881639.66
328,20/01/2020,9064922.0
329,19/01/2020,8119874.0
330,18/01/2020,8119874.0
331,17/01/2020,7967247.0
332,16/01/2020,8037319.0
333,01/04/2020,5715583.64
334,31/03/2020,5419932.64
335,30/03/2020,5469130.64
336,29/03/2020,5074287.64
337,28/03/2020,5074287.64
338,27/03/2020,8690647.64
339,26/03/2020,8690647.64
340,25/03/2020,8690647.64
341,24/03/2020,8690647.64
342,23/03/2020,9350046.64
343,22/03/2020,9530242.64
344,21/03/2020,9530242.64
345,20/03/2020,9553255.64
346,19/03/2020,9464470.64
347,18/03/2020,8247406.64
348,17/03/2020,7729873.64
349,16/03/2020,7711307.64
350,15/03/2020,7442804.0
351,14/03/2020,7442804.0
352,13/03/2020,8249824.0
353,12/03/2020,7827230.0
354,11/03/2020,7601599.0
355,10/03/2020,7818621.0
356,09/03/2020,7576995.0
357,08/03/2020,7358374.0
358,07/03/2020,7358374.0
359,06/03/2020,7209355.0
360,05/03/2020,6745322.0
361,04/03/2020,6836884.0
362,03/03/2020,6898043.0
363,02/03/2020,7665739.0
364,01/03/2020,7118934.0
365,29/02/2020,7118934.0
366,28/02/2020,7531168.0
367,27/02/2020,7611558.0
368,List of Vehicles,0.0
